Topics,Topic Text,distributions,Unique Words,Text
"[(5, 0.5171842), (6, 0.45849574)]","(5, '0.010*""energy"" + 0.007*""friendly"" + 0.006*""highly"" + 0.006*""consumption"" + 0.006*""great""')","[(5, 0.5172357), (6, 0.45844424)]","['solar', 'staff', 'time', 'roof', 'limited', 'eco', 'renewables', 'energy', 'get', 'team']","Really nice trip ,just over an hour to learn many interesting facts about the river and canal history and see many landmarks. There are toilets on board and a well stocked looking bar ( we didn't use it). You can board from two different locations. Nice if you don't know much about Manchester."
"[(0, 0.011115447), (1, 0.0111127505), (2, 0.011114254), (3, 0.011113867), (4, 0.011116109), (5, 0.011119543), (6, 0.91107404), (7, 0.011113301), (8, 0.011120706)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(0, 0.011115447), (1, 0.0111127505), (2, 0.011114254), (3, 0.011113867), (4, 0.011116109), (5, 0.011120003), (6, 0.91107357), (7, 0.011113301), (8, 0.011120712)]","['recycling', 'clean', 'great', 'staff', 'place', 'helpful', 'service', 'well', 'centre', 'really']","Relaxing tour, make sure you grab a seat in the open - top of the boat"
"[(4, 0.9407121)]","(4, '0.009*""great"" + 0.008*""good"" + 0.007*""italian"" + 0.007*""staff"" + 0.006*""youre""')","[(4, 0.94071233)]","['great', 'supplier', 'staff', 'new', 'helpful', 'service', 'good', 'prices', 'site', 'energy']","This is a great way to spend a couple of hours,
The commentary gives you a snapshot of the ship canal history. Give it a try you will not be disappointed."
"[(6, 0.95765144)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(6, 0.95765144)]","['best', 'amazing', 'food', 'italian', 'recommend', 'great', 'service', 'good', 'restaurant', 'definitely']",Lovely little tour up the river you get to see some beautiful views for a reasonable price.  The staff are super friendly and knowledgeable. It is also good to support a small local business.
"[(6, 0.97777)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(6, 0.97776985)]","['great', 'good', 'italian', 'staff', 'youre', 'ordered', 'well', 'pasta', 'place', 'really']",Paul and Abi were delightful as they explained the history of Bath via boat tour with an added delight of Prosecco. We felt at ease and comfortable. They were friendly and engaging and we really enjoyed the ride. We only came to Bath for a day trip and I would highly recommend this boat tour to soak in as much as possible in a short amount of time. Thank you Paul and Abi for your hospitality.
"[(3, 0.12056902), (6, 0.8405191)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(5, 0.14934403), (6, 0.81174284)]","['energy', 'friendly', 'highly', 'consumption', 'great', 'get', 'us', 'additional', 'reconciliation', 'way']","Such a memorable experience on board, the guide was welcoming and attentive for the prosecco top up throughout. Lovely journey along the river with a relaxing feel to the trip. Highly recommend these guys."
"[(4, 0.44747296), (6, 0.5006592)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(4, 0.44747442), (6, 0.5006578)]","['river', 'trip', 'boat', 'tour', 'lovely', 'cruise', 'staff', 'great', 'along', 'guide']","The trip lasts an hour and goes up and down the river, with the captain giving commentary on the history of both the river and the various buildings along its bank."
"[(5, 0.24758607), (6, 0.70054257)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(5, 0.24756792), (6, 0.70056117)]","['staff', 'well', 'time', 'food', 'like', 'good', 'really', 'helpful', 'us', 'energy']",Lovely afternoon spent on the River very informative and relaxing lasted about a hour with great commentary lovely landmarks and scenery all for £13 for a adult.
"[(1, 0.12399684), (6, 0.81615484)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(1, 0.12394929), (6, 0.8162024)]","['great', 'really', 'service', 'friendly', 'cruise', 'food', 'nice', 'day', 'back', 'looking']","Well worth the 1 hour trip up the river, staff very knowledgeable and the history talk is well worth the trip."
"[(6, 0.9595807)]","(6, '0.021*""river"" + 0.016*""trip"" + 0.014*""boat"" + 0.013*""tour"" + 0.010*""lovely""')","[(6, 0.95958054)]",,"Had a lovely time, took the 2 hour cruise. Staff were lovely and couldn't be more helpful and communicative. The recorded guide was informative, in places very amusing, and the views along the river are beautiful! A good trip out."
