Topics,Topic Text,distributions,Unique Words,Text
"[(0, 0.02503007), (1, 0.8246964), (2, 0.025092175), (3, 0.025014399), (4, 0.025039984), (5, 0.02505681), (6, 0.025031507), (7, 0.025038678)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(0, 0.025030062), (1, 0.824701), (2, 0.025087591), (3, 0.025014393), (4, 0.025039973), (5, 0.02505679), (6, 0.025031498), (7, 0.025038667)]",,Masha'Allah. Nice and clean Mosque
"[(0, 0.031284668), (1, 0.03129568), (2, 0.03129788), (3, 0.7809756), (4, 0.031278327), (5, 0.031279948), (6, 0.031290673), (7, 0.031297244)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(0, 0.03128469), (1, 0.031296138), (2, 0.03129888), (3, 0.78097373), (4, 0.03127834), (5, 0.03127996), (6, 0.031290777), (7, 0.031297468)]",,Good Prayer Services
"[(0, 0.011387298), (1, 0.01137815), (2, 0.011368789), (3, 0.011364999), (4, 0.01137223), (5, 0.011367485), (6, 0.011376417), (7, 0.9203846)]","(7, '0.020*""great"" + 0.013*""helpful"" + 0.011*""good"" + 0.009*""really"" + 0.008*""waste""')","[(0, 0.011383915), (1, 0.011377681), (2, 0.011368786), (3, 0.011364998), (4, 0.011372226), (5, 0.011367483), (6, 0.011376409), (7, 0.9203885)]",,"Mashallah, true commitment shown to provide excellent facilities for local Muslim Community"
"[(0, 0.015653418), (1, 0.015636897), (2, 0.6341339), (3, 0.015633902), (4, 0.01566358), (5, 0.015658382), (6, 0.015644653), (7, 0.27197528)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.015653381), (1, 0.015636876), (2, 0.63542074), (3, 0.015633907), (4, 0.015663302), (5, 0.015658462), (6, 0.01564464), (7, 0.2706887)]",,Good masjid with tidy and great imams in it...I loved it..
"[(0, 0.020844325), (1, 0.020860069), (2, 0.85404205), (3, 0.020848168), (4, 0.020844728), (5, 0.020851048), (6, 0.020854589), (7, 0.020855008)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(0, 0.020844327), (1, 0.020859713), (2, 0.85404235), (3, 0.02084817), (4, 0.020844726), (5, 0.020851048), (6, 0.020854624), (7, 0.020855006)]",,Small and a great place for daily prayer.
"[(0, 0.013913172), (1, 0.013936618), (2, 0.013934488), (3, 0.9025882), (4, 0.01389926), (5, 0.013904259), (6, 0.013906093), (7, 0.01391796)]","(3, '0.013*""cruise"" + 0.012*""river"" + 0.010*""experience"" + 0.010*""lovely"" + 0.008*""along""')","[(0, 0.0139131695), (1, 0.013936614), (2, 0.013933349), (3, 0.90258926), (4, 0.013899258), (5, 0.013904258), (6, 0.0139060905), (7, 0.0139179565)]",,Great mosque with ample prayer space and ample parking nearby.
"[(6, 0.9538951)]","(6, '0.013*""service"" + 0.012*""great"" + 0.011*""supplier"" + 0.008*""italian"" + 0.008*""prices""')","[(6, 0.95389557)]",,A beautiful mosque with clean prayer halls and a great community spirit. Please ignore all hateful comments from those who have never even visited and are just trying to defame the community.
"[(0, 0.012507562), (1, 0.912415), (2, 0.012529137), (3, 0.012507583), (4, 0.012514124), (5, 0.012514017), (6, 0.01250559), (7, 0.012506911)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(0, 0.012507564), (1, 0.9124153), (2, 0.012528932), (3, 0.012507585), (4, 0.0125141265), (5, 0.012514019), (6, 0.012505593), (7, 0.012506913)]",,"Nice, big, well managed mosque,  Separate section for women to pray."
"[(2, 0.96019673)]","(2, '0.016*""staff"" + 0.014*""great"" + 0.012*""well"" + 0.010*""really"" + 0.009*""food""')","[(2, 0.96019554)]",,"Lovely atmosphere, beautiful mosque. This mosque hold regular charity events such as feeding of the poor, helping other charities and collections for poppy appeal etc. Great place to learn about Islam"
"[(0, 0.012507935), (1, 0.9123077), (2, 0.012553878), (3, 0.012510554), (4, 0.012522707), (5, 0.012555184), (6, 0.012519804), (7, 0.012522288)]","(1, '0.009*""pasta"" + 0.006*""mosque"" + 0.006*""solar"" + 0.006*""time"" + 0.006*""great""')","[(0, 0.012507931), (1, 0.912318), (2, 0.012553854), (3, 0.012510548), (4, 0.0125226965), (5, 0.012544897), (6, 0.012519795), (7, 0.012522279)]",,One of the best few mosque in the uk very clean very organised best management team
